38;afrnio;Afrânio;Pernambuco;Afrânio;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
47;agrolndiasc;AGROLÂNDIA/SC;Santa Catarina;Agrolândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
47;agrolndiasc;AGROLÂNDIA/SC;Santa Catarina;Agronômica;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
47;agrolndiasc;AGROLÂNDIA/SC;Santa Catarina;Águas Frias;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
47;agrolndiasc;AGROLÂNDIA/SC;Santa Catarina;Angelina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
47;agrolndiasc;AGROLÂNDIA/SC;Santa Catarina;Anitápolis;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
48;agronmica;Agronômica;Santa Catarina;Agrolândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
48;agronmica;Agronômica;Santa Catarina;Agronômica;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
49;agronmicasc;AGRONÔMICA/SC;Santa Catarina;Agrolândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
48;agronmica;Agronômica;Santa Catarina;Agronômica;%Similaridade0.5
49;agronmicasc;AGRONÔMICA/SC;Santa Catarina;Agronômica;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
50;guabranca;Água Branca;Alagoas;Água Branca;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
52;aguaclarams;AGUA CLARA - MS;Mato Grosso do Sul;Água Clara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
53;aguadoce;AGUA DOCE;Santa Catarina;Água Doce;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
53;aguadoce;AGUA DOCE;Santa Catarina;Águas de Chapecó;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
54;agualimpago;AGUA LIMPA - GO;Goiás;Abadia de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
54;agualimpago;AGUA LIMPA - GO;Goiás;Água Fria de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
54;agualimpago;AGUA LIMPA - GO;Goiás;Água Limpa;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
54;agualimpago;AGUA LIMPA - GO;Goiás;Águas Lindas de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
54;agualimpago;AGUA LIMPA - GO;Goiás;Amaralina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
56;aguasdapratasp;AGUAS DA PRATA - SP;São Paulo;Adamantina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
56;aguasdapratasp;AGUAS DA PRATA - SP;São Paulo;Águas da Prata;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
56;aguasdapratasp;AGUAS DA PRATA - SP;São Paulo;Águas de Santa Bárbara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
56;aguasdapratasp;AGUAS DA PRATA - SP;São Paulo;Águas de São Pedro;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
